time_window,id.orig_h,id.resp_h,ts_count,ts_min,ts_max,tid_nunique,unit_nunique,id.orig_p_nunique,duration,transaction_rate,iat_mean,iat_std,iat_min,iat_max
29376294,192.168.0.11,192.168.0.12,2700,1.76257764e+09,1.7625777e+09,892,1,1,59.80128813,45.0,0.022222372,0.062599344,0.0,0.203020096
29376294,192.168.0.12,192.168.0.11,900,1.76257764e+09,1.7625777e+09,300,1,1,59.80010581,15.0,0.066666666,0.094175795,0.0,0.201028347
29376294,192.168.0.21,192.168.0.11,2880,1.76257764e+09,1.7625777e+09,951,1,1,59.50137019,48.0,0.020833141,0.099670664,0.0,0.499852657
29376294,192.168.0.21,192.168.0.12,1800,1.76257764e+09,1.7625777e+09,596,1,1,59.50081706,30.0,0.033332996,0.124570934,0.0,0.500592232
29376295,192.168.0.11,192.168.0.12,2700,1.7625777e+09,1.76257776e+09,894,1,1,59.8013308,45.0,0.022222377,0.062591837,0.0,0.200941324
29376295,192.168.0.12,192.168.0.11,900,1.7625777e+09,1.76257776e+09,298,1,1,59.7999599,15.0,0.066666774,0.094172073,0.0,0.200991869
29376295,192.168.0.21,192.168.0.11,2880,1.7625777e+09,1.76257776e+09,957,1,1,59.50154495,48.0,0.020833504,0.099674218,0.0,0.499998093
29376295,192.168.0.21,192.168.0.12,1800,1.7625777e+09,1.76257776e+09,598,1,1,59.50111198,30.0,0.033333634,0.124576235,0.0,0.500691891
29376296,192.168.0.11,192.168.0.12,2700,1.76257776e+09,1.76257782e+09,896,1,1,59.80069852,45.0,0.022222043,0.062566907,0.0,0.202013254
29376296,192.168.0.12,192.168.0.11,900,1.76257776e+09,1.76257782e+09,299,1,1,59.79984474,15.0,0.066666342,0.094182176,0.0,0.200706959
29376296,192.168.0.21,192.168.0.11,2880,1.76257776e+09,1.76257782e+09,953,1,1,59.50133204,48.0,0.020833087,0.099693362,0.0,0.499926329
29376296,192.168.0.21,192.168.0.12,1800,1.76257776e+09,1.76257782e+09,597,1,1,59.5007329,30.0,0.033332927,0.12454104,0.0,0.500666142
29376297,192.168.0.11,192.168.0.12,2700,1.76257782e+09,1.76257788e+09,897,1,1,59.80103493,45.0,0.022222351,0.062589563,0.0,0.201018095
29376297,192.168.0.12,192.168.0.11,900,1.76257782e+09,1.76257788e+09,300,1,1,59.79996395,15.0,0.066666971,0.09417744,0.0,0.201120138
29376297,192.168.0.21,192.168.0.11,2880,1.76257782e+09,1.76257788e+09,950,1,1,59.50102305,48.0,0.020833257,0.099684952,0.0,0.49987793
29376297,192.168.0.21,192.168.0.12,1800,1.76257782e+09,1.76257788e+09,596,1,1,59.5004878,30.0,0.033333257,0.124569571,0.0,0.500762224
29376242,192.168.0.11,192.168.0.12,2700,1.76257452e+09,1.76257458e+09,893,1,1,59.80146194,45.0,0.022222387,0.062584862,0.0,0.208160162
29376242,192.168.0.12,192.168.0.11,900,1.76257452e+09,1.76257458e+09,299,1,1,59.80043221,15.0,0.066666239,0.09417344,0.0,0.201246738
29376242,192.168.0.21,192.168.0.11,2880,1.76257452e+09,1.76257458e+09,952,1,1,59.50121808,48.0,0.020833492,0.09968353,0.0,0.500101805
29376242,192.168.0.21,192.168.0.12,1800,1.76257452e+09,1.76257458e+09,596,1,1,59.5007627,30.0,0.033333513,0.12453934,0.0,0.500720024
29376243,192.168.0.11,192.168.0.12,2700,1.76257458e+09,1.76257464e+09,898,1,1,59.80053234,45.0,0.022222231,0.062584047,0.0,0.201304436
29376243,192.168.0.12,192.168.0.11,902,1.76257458e+09,1.76257464e+09,301,1,1,59.99949121,15.03333333,0.066739916,0.094201985,0.0,0.201313257
29376243,192.168.0.21,192.168.0.11,2880,1.76257458e+09,1.76257464e+09,952,1,1,59.50270867,48.0,0.020833713,0.099682171,0.0,0.500030041
29376243,192.168.0.21,192.168.0.12,1800,1.76257458e+09,1.76257464e+09,599,1,1,59.50190806,30.0,0.033333915,0.124569791,0.0,0.500464916
29376244,192.168.0.11,192.168.0.12,2700,1.76257464e+09,1.7625747e+09,892,1,1,59.80102682,45.0,0.022222239,0.062584519,0.0,0.201534986
29376244,192.168.0.12,192.168.0.11,898,1.76257464e+09,1.7625747e+09,300,1,1,59.80034184,14.96666667,0.066593023,0.09415248,0.0,0.201148987
29376244,192.168.0.21,192.168.0.11,2880,1.76257464e+09,1.7625747e+09,954,1,1,59.50206876,48.0,0.020833167,0.099712535,0.0,0.500260353
29376244,192.168.0.21,192.168.0.12,1800,1.76257464e+09,1.7625747e+09,596,1,1,59.50179887,30.0,0.033333016,0.124581213,0.0,0.500794172
29376245,192.168.0.11,192.168.0.12,2700,1.7625747e+09,1.76257476e+09,892,1,1,59.80087972,45.0,0.022222095,0.062581242,0.0,0.201487064
29376245,192.168.0.12,192.168.0.11,900,1.7625747e+09,1.76257476e+09,298,1,1,59.80056572,15.0,0.066667333,0.094173309,0.0,0.200780153
29376245,192.168.0.21,192.168.0.11,2880,1.7625747e+09,1.76257476e+09,953,1,1,59.50198174,48.0,0.020833381,0.099683655,0.0,0.500056028
29376245,192.168.0.21,192.168.0.12,1800,1.7625747e+09,1.76257476e+09,599,1,1,59.50167799,30.0,0.033333458,0.124568403,0.0,0.500398874
29376222,192.168.0.11,192.168.0.12,2700,1.76257332e+09,1.76257338e+09,892,1,1,59.80073643,45.0,0.022222095,0.062584057,0.0,0.207688808
